Source,Target,Weight
ANGOLA,CUBA,1
ARGENTINA,BRAZIL,2
ARGENTINA,COLOMBIA,1
ARGENTINA,MEXICO,5
ARGENTINA,SPAIN,2
ARGENTINA,USA,1
AUSTRALIA,CHILE,1
AUSTRALIA,USA,1
BELGIUM,DENMARK,1
BELGIUM,GREECE,1
BELGIUM,ITALY,1
BELGIUM,UNITED KINGDOM,1
BRAZIL,CANADA,1
BRAZIL,CZECH REPUBLIC,1
BRAZIL,ECUADOR,1
BRAZIL,FRANCE,2
BRAZIL,GERMANY,1
BRAZIL,INDIA,1
BRAZIL,ITALY,1
BRAZIL,MEXICO,3
BRAZIL,NETHERLANDS,1
BRAZIL,PERU,1
BRAZIL,POLAND,1
BRAZIL,SPAIN,9
BRAZIL,UNITED KINGDOM,2
BRAZIL,USA,5
BULGARIA,ITALY,1
CANADA,CHINA,1
CANADA,CUBA,2
CANADA,INDIA,1
CANADA,ITALY,2
CANADA,UNITED KINGDOM,1
CANADA,USA,2
CHILE,COLOMBIA,1
CHILE,SPAIN,1
CHINA,UNITED KINGDOM,1
COLOMBIA,ECUADOR,2
COLOMBIA,MEXICO,1
COLOMBIA,SPAIN,6
COLOMBIA,USA,1
COSTA RICA,PANAMA,1
CUBA,ECUADOR,3
CUBA,GERMANY,1
CUBA,MEXICO,1
CUBA,PANAMA,1
CUBA,SPAIN,7
CUBA,USA,1
DENMARK,ITALY,1
DENMARK,UNITED KINGDOM,1
ECUADOR,GERMANY,1
ECUADOR,SPAIN,10
ESTONIA,NETHERLANDS,2
ESTONIA,UNITED KINGDOM,2
ESTONIA,USA,2
FRANCE,IRELAND,2
FRANCE,SPAIN,7
FRANCE,UNITED KINGDOM,1
FRANCE,USA,2
GERMANY,KOREA,1
GERMANY,NORWAY,1
GERMANY,SPAIN,1
GERMANY,USA,1
GREECE,IRELAND,2
GREECE,UNITED KINGDOM,1
INDONESIA,PHILIPPINES,2
IRELAND,NETHERLANDS,1
IRELAND,SPAIN,2
ITALY,SPAIN,4
ITALY,UNITED KINGDOM,3
ITALY,USA,1
LITHUANIA,UKRAINE,1
MEXICO,PERU,1
MEXICO,SPAIN,2
MEXICO,USA,2
NIGERIA,USA,1
NORWAY,SPAIN,1
NORWAY,USA,1
PERU,SPAIN,1
ROMANIA,SPAIN,1
SLOVENIA,SOUTH AFRICA,1
SLOVENIA,SWITZERLAND,1
SOUTH AFRICA,SWITZERLAND,1
SPAIN,USA,7
SWEDEN,SWITZERLAND,2
SWEDEN,TURKEY,1
SWEDEN,UNITED KINGDOM,2
SWEDEN,USA,1
SWITZERLAND,TURKEY,2
SWITZERLAND,UNITED KINGDOM,3
SWITZERLAND,USA,1
TURKEY,UNITED KINGDOM,2
UNITED KINGDOM,ESTONIA,1
UNITED KINGDOM,FRANCE,1
UNITED KINGDOM,NORWAY,1
UNITED KINGDOM,SPAIN,1
UNITED KINGDOM,USA,3
