id,Label,degree,community
1,AGRIC,3,2
2,BUILD RES INF,1,3
3,COMP EURO POLIT,1,3
4,COMPLEXITY,3,1
5,CORROS ENG SCI TECHNOL,1,2
6,ECON LABOUR RELAT REV,1,3
7,FRONT PSYCHOL,2,3
8,J CLEAN PROD,6,2
9,J RURAL STUD,5,2
10,LAND USE POLICY,3,2
11,NONPROFIT MANAGE LEADERSH,1,3
12,OPEN RES EUR,1,3
13,ORGANIZATION,9,3
14,QUAL INQ,2,3
15,SAPIENZA,1,3
16,STUD SYST DECIS CONTROL,1,2
17,SUSTAINABILITY,8,1
18,SUSTAINABLE DEV,1,3
19,WORLD SUSTAIN SER,5,2
20,HUM ORGAN,2,2
21,SOCIOL RURAL,2,2
22,J INFORMETR,1,1
23,KYBERNETES,2,1
24,SCIENTOMETRICS,1,1
25,WORLD DEV,2,2
26,ACTA ORNITHOL,1,1
27,ADV ECONOM,1,1
28,AM ECON REV,1,1
29,AMFITEATRU ECON,1,1
30,ARCH SEX BEHAV,1,1
