Title;Issn;SJR;QUARTIL;H index
Ca-A Cancer Journal for Clinicians;15424863, 00079235;106.094;Q1;211
Foundations and Trends in Machine Learning;19358245, 19358237;37.044;Q1;39
Nature Reviews Molecular Cell Biology;14710072, 14710080;35.91;Q1;508
Quarterly Journal of Economics;00335533, 15314650;30.448;Q1;306
Nature Reviews Cancer;1474175X, 14741768;26.837;Q1;505
Cell;00928674, 10974172;24.342;Q1;892
Nature Reviews Drug Discovery;14741784, 14741776;22.399;Q1;391
American Economic Review;19447981, 00028282;22.344;Q1;359
Nature Reviews Materials;20588437;21.836;Q1;184
Nature Reviews Clinical Oncology;17594782, 17594774;21.048;Q1;217
New England Journal of Medicine;00284793, 15334406;20.544;Q1;1184
Journal of Finance;00221082, 15406261;19.139;Q1;352
Nature Medicine;1546170X, 10788956;19.045;Q1;630
Current Protocols in Bioinformatics;19343396, 1934340X;18.663;Q1;71
MMWR supplements;23808942, 23808950;18.587;Q1;23
Journal of Political Economy;00223808, 1537534X;18.53;Q1;215
Nature;14764687, 00280836;18.509;Q1;1391
Nature Biotechnology;15461696, 10870156;18.117;Q1;511
Chemical Reviews;15206890, 00092665;17.828;Q1;833
Econometrica;00129682, 14680262;17.701;Q1;223
Review of Financial Studies;14657368, 08939454;17.654;Q1;234
Cancer Cell;15356108, 18783686;17.507;Q1;398
Nature Energy;20587546;17.497;Q1;229
Nature Genetics;10614036, 15461718;17.3;Q1;639
Reviews of Modern Physics;00346861, 15390756;16.061;Q1;388
Nature Reviews Immunology;14741741, 14741733;16.009;Q1;467
IEEE Communications Surveys and Tutorials;1553877X;15.966;Q1;264
World Psychiatry;17238617;15.827;Q1;140
Annual Review of Immunology;15453278, 07320582;15.62;Q1;328
National Vital Statistics Reports;15518922, 15518930;14.943;Q1;115
Nature Methods;15487091, 15487105;14.796;Q1;388
Advances in Physics;14606976, 00018732;14.78;Q1;123
Nano Research Energy;27910091, 27908119;14.707;Q1;32
MMWR Recommendations and Reports;10575987, 15458601;14.618;Q1;160
Academy of Management Annals;19416520, 19416067;14.605;Q1;109
Nature Nanotechnology;17483387, 17483395;14.577;Q1;419
Nature Reviews Genetics;14710056, 14710064;14.293;Q1;421
Nature Materials;14764660, 14761122;14.231;Q1;558
Administrative Science Quarterly;00018392, 19303815;14.175;Q1;210
Annals of Oncology;15698041, 09237534;13.942;Q1;294
Annual Review of Astronomy and Astrophysics;15454282, 00664146;13.67;Q1;210
Journal of Financial Economics;0304405X;13.655;Q1;311
Review of Economic Studies;00346527, 1467937X;13.609;Q1;165
Immunity;10974180, 10747613;13.578;Q1;455
Nature Catalysis;25201158;13.315;Q1;136
Morbidity and Mortality Weekly Report;01492195, 1545861X;13.08;Q1;260
Chemical Society Reviews;03060012, 14604744;12.511;Q1;635
American Economic Journal: Macroeconomics;19457707, 19457715;12.324;Q1;81
Nature Reviews Methods Primers;26628449;12.294;Q1;46
eScience;20972431, 26671417;12.288;Q1;44
Proceedings of the IEEE International Conference on Computer Vision;15505499;12.263;-;356
Nature Neuroscience;10976256, 15461726;12.261;Q1;479
Handbook of Econometrics;15734412;12.192;Q1;24
Lancet Oncology, The;14702045, 14745488;12.179;Q1;408
Lancet, The;01406736, 1474547X;12.113;Q1;895
Science;10959203, 00368075;11.902;Q1;1336
Nature Cancer;26621347;11.9;Q1;61
Journal of Marketing;15477185, 00222429;11.799;Q1;284
Annual Review of Pathology: Mechanisms of Disease;15534006, 15534014;11.748;Q1;147
Joule;25424351;11.724;Q1;187
Nature Electronics;25201131;11.667;Q1;109
Nature Reviews Chemistry;23973358;11.603;Q1;109
Cell Metabolism;15504131, 19327420;11.406;Q1;345
Nature Immunology;15292908, 15292916;11.274;Q1;440
Nature Photonics;17494885;11.249;Q1;385
Journal of Economic Literature;00220515;11.092;Q1;180
Energy and Environmental Science;17545692, 17545706;10.935;Q1;436
Physiological Reviews;15221210, 00319333;10.821;Q1;388
Journal of Clinical Oncology;15277755, 0732183X;10.639;Q1;624
Academy of Management Review;03637425;10.486;Q1;306
Proceedings of the IEEE Computer Society Conference on Computer Vision and Pattern Recognition;10636919;10.331;-;531
MMWR Surveillance Summaries;15458636, 15460738;10.275;Q1;121
Cell Stem Cell;19345909, 18759777;10.253;Q1;305
Lancet Diabetes and Endocrinology,The;22138595, 22138587;10.247;Q1;173
Nature Reviews Disease Primers;2056676X;10.215;Q1;186
Living Reviews in Relativity;14338351, 23673613;10.188;Q1;93
Psychological Science in the Public Interest;21600031, 15291006;9.887;Q1;60
Journal of Hepatology;16000641, 01688278;9.857;Q1;301
Annual Review of Condensed Matter Physics;19475454, 19475462;9.821;Q1;87
Annual Review of Biochemistry;15454509, 00664154;9.745;Q1;321
Nature Reviews Gastroenterology and Hepatology;17595045, 17595053;9.741;Q1;193
Astronomy and Astrophysics Review;09354956, 14320754;9.664;Q1;78
Nature Reviews Microbiology;17401534, 17401526;9.639;Q1;372
Nature Reviews Earth and Environment;2662138X;9.521;Q1;67
Cell Research;17487838, 10010602;9.506;Q1;216
Annual Review of Psychology;00664308, 15452085;9.438;Q1;279
Lancet Public Health, The;24682667;9.434;Q1;90
Molecular Cell;10974164, 10972765;9.332;Q1;443
Advanced Materials;09359648, 15214095;9.191;Q1;640
Journal of Econometrics;03044076, 18726895;9.161;Q1;188
